area,perimeter,defect_count,finger_count,centroid_x,centroid_y,aspect_ratio,solidity,label
396678.5,10095.739570498466,6,7,579,402,1.836441893830703,0.5579386796798466,1
266746.0,6339.041962265968,5,6,325,398,1.228448275862069,0.6128478265114938,1
417749.0,11055.888845443726,6,7,592,406,1.8497109826589595,0.5804548470353658,1
261692.0,6015.100837349892,6,7,320,401,1.0475504322766571,0.6874032201504348,1
400814.5,8685.09787106514,6,7,583,406,1.8443804034582132,0.5672346119473006,1
263924.5,5826.2896555662155,5,6,317,399,1.0258249641319943,0.6831519917377085,1
267697.5,6979.250111818314,5,6,332,400,1.1738505747126438,0.628097845278136,1
260397.0,5628.566785573959,6,7,323,403,1.0670553935860059,0.682242623363149,1
408004.5,9197.832934260368,6,7,587,402,1.8497109826589595,0.5782257875936506,1
414359.0,11378.256374835968,6,7,591,407,1.8443804034582132,0.5746426330223382,1
272121.0,5861.880494713783,5,6,335,399,1.2281205164992826,0.6305490288764998,1
262451.0,5379.537349104881,5,6,323,400,1.052857142857143,0.6676571036079294,1
409573.0,10915.60457444191,7,8,584,401,1.8311874105865522,0.5695534426115524,1
279008.5,7820.411580562592,5,6,344,393,1.251788268955651,0.5986876479909706,1
266565.5,6562.7404453754425,5,6,320,396,1.0558739255014327,0.6385368284135361,1
267154.5,6265.343476772308,5,6,329,397,1.2063492063492063,0.6016925485073367,1
404280.5,10656.85226714611,7,8,582,403,1.825962910128388,0.563768295812044,1
403888.0,10184.18322134018,6,7,583,403,1.833810888252149,0.566736265463281,1
262594.0,5738.792182564735,5,6,320,400,1.048780487804878,0.6486725499762238,1
405003.5,11258.072610497475,6,7,579,402,1.833810888252149,0.564978604235908,1
270088.5,6490.858197927475,6,7,324,394,1.1873198847262247,0.6092192030640452,1
400955.5,9857.171027302742,6,7,578,400,1.847041847041847,0.5644835669184365,1
398954.5,9403.891810059547,7,8,576,400,1.825962910128388,0.5584328782309517,1
405793.5,9937.798445224762,6,7,575,399,1.836441893830703,0.5643098219016349,1
396879.5,9433.975068807602,6,7,573,399,1.8285714285714285,0.5568519194073409,1
268240.0,5948.390160918236,5,6,324,394,1.2485549132947977,0.6213027345288115,1
396725.0,9573.53141951561,6,7,576,401,1.836441893830703,0.5596887271516573,1
262621.5,5268.2652715444565,5,6,315,396,1.0558739255014327,0.679429284730262,1
266437.5,5965.745499134064,5,6,316,395,1.0543633762517883,0.6462608134609018,1
265598.0,6212.615556359291,6,7,316,396,1.0486409155937053,0.6441495573257406,1
263199.5,5744.206394910812,5,6,316,394,1.2295552367288378,0.6088789619426792,1
261689.5,6639.485613465309,6,7,318,397,1.1426533523537803,0.6463591747413349,1
257009.0,5566.56678545475,6,7,310,397,0.9885550786838341,0.6988412421536064,1
504009.5,9080.058329463005,6,7,627,425,1.836441893830703,0.692650416716198,1
251454.5,3662.687502026558,5,6,958,450,1.3045871559633027,0.7965714303816315,1
498682.0,9535.521314740181,7,8,643,432,1.893491124260355,0.6933896185246133,1
492249.0,10383.854355812073,7,8,645,433,1.8851251840942562,0.6766630170090541,1
494672.5,9651.646203756332,8,9,648,432,1.887905604719764,0.6772045108407345,1
501392.0,9491.403560876846,8,9,647,430,1.8740849194729137,0.6792019858915007,1
270031.0,4905.914985179901,6,7,955,445,1.228855721393035,0.743833774991323,1
500761.0,9842.33963727951,8,9,649,428,1.9248120300751879,0.673849753981278,1
502473.0,10136.422896146774,8,9,648,426,1.893491124260355,0.6683168218065209,1
503678.0,9925.511208295822,8,9,649,425,1.8497109826589595,0.6612047395629583,1
504362.5,9188.85226881504,8,9,649,424,1.855072463768116,0.6589653187838024,1
282022.5,4461.020541906357,8,9,948,432,1.179245283018868,0.7282237792573485,1
280838.5,4414.476385951042,7,8,949,432,1.1752738654147106,0.7369048727976899,1
280486.5,4600.275376081467,7,8,948,431,1.1752738654147106,0.7409526124129405,1
503418.0,9183.58018887043,8,9,651,423,1.855072463768116,0.6532271563575778,1
280671.5,4967.128189325333,8,9,949,430,1.1635514018691588,0.723734560738506,1
279753.0,4889.429704427719,8,9,951,430,1.1604361370716512,0.7357806489791893,1
280821.0,4860.7434113025665,8,9,951,429,1.1542056074766356,0.7235882966799366,1
279416.5,4582.819531798363,8,9,953,430,1.1510903426791277,0.7234130965248966,1
278497.5,4865.932229876518,8,9,954,431,1.1622464898595943,0.7174950567109577,1
278045.5,4629.790093541145,8,9,954,431,1.1515625,0.7312801225614286,1
496366.5,8907.254289507866,8,9,653,425,1.9306184012066365,0.6533545253514452,1
278089.5,4752.1332396268845,8,9,954,432,1.1721439749608764,0.7171182670921574,1
498431.0,9079.496928334236,8,9,653,424,1.841726618705036,0.6468060422772541,1
496457.0,8637.67355453968,7,8,654,426,1.9393939393939394,0.6558818808331809,1
279568.0,4440.493632674217,8,9,953,432,1.15962441314554,0.7227228779864848,1
278396.0,4834.518016576767,8,9,953,433,1.164319248826291,0.7182661260673203,1
278304.5,4714.760657072067,8,9,953,432,1.1598746081504703,0.723523761118831,1
276895.0,4612.032736182213,7,8,956,434,1.158059467918623,0.740751144319334,1
279351.0,4792.032734632492,8,9,953,432,1.15962441314554,0.7215249213841555,1
278388.5,4778.902792572975,8,9,953,433,1.1630094043887147,0.7302271168346075,1
278932.5,4884.701782107353,8,9,951,433,1.164835164835165,0.7204970307822255,1
279751.5,4485.991105079651,8,9,951,432,1.1682389937106918,0.7243807516429567,1
277096.0,4712.317007184029,8,9,953,433,1.1616954474097332,0.7381304066968121,1
275269.5,4826.843918323517,8,9,954,433,1.1585557299843015,0.7308237080735365,1
274620.0,4696.518016576767,7,8,955,432,1.1574803149606299,0.7363256113256114,1
